Time resolution is 1 ps
OP=0 | A=10 B=5 | Y=15 | C=0 Z=0 S=0
OP=1 | A=10 B=5 | Y=5 | C=0 Z=0 S=0
OP=2 | A=10 B=5 | Y=11 | C=0 Z=0 S=0
OP=3 | A=10 B=5 | Y=10 | C=0 Z=0 S=0
OP=4 | A=10 B=5 | Y=0 | C=0 Z=1 S=0
OP=5 | A=10 B=5 | Y=15 | C=0 Z=0 S=0
OP=6 | A=10 B=5 | Y=15 | C=0 Z=0 S=0
OP=7 | A=10 B=5 | Y=4294967285 | C=0 Z=0 S=1
OP=8 | A=10 B=5 | Y=20 | C=0 Z=0 S=0
OP=9 | A=10 B=5 | Y=5 | C=0 Z=0 S=0
OP=a | A=10 B=5 | Y=5 | C=0 Z=0 S=0
OP=b | A=10 B=5 | Y=20 | C=0 Z=0 S=0
OP=c | A=10 B=5 | Y=10 | C=0 Z=0 S=0
OP=d | A=10 B=5 | Y=5 | C=0 Z=0 S=0
OP=e | A=10 B=5 | Y=0 | C=0 Z=1 S=0
OP=f | A=10 B=5 | Y=0 | C=0 Z=1 S=0
OP=0 | A=4294967281 B=3 | Y=4294967284 | C=0 Z=0 S=1
OP=1 | A=4294967281 B=3 | Y=4294967278 | C=0 Z=0 S=1
OP=2 | A=4294967281 B=3 | Y=4294967280 | C=0 Z=0 S=1
OP=3 | A=4294967281 B=3 | Y=4294967281 | C=0 Z=0 S=1
OP=4 | A=4294967281 B=3 | Y=1 | C=0 Z=0 S=0
OP=5 | A=4294967281 B=3 | Y=4294967283 | C=0 Z=0 S=1
OP=6 | A=4294967281 B=3 | Y=4294967282 | C=0 Z=0 S=1
OP=7 | A=4294967281 B=3 | Y=14 | C=0 Z=0 S=0
OP=8 | A=4294967281 B=3 | Y=4294967266 | C=0 Z=0 S=1
OP=9 | A=4294967281 B=3 | Y=2147483640 | C=0 Z=0 S=0
OP=a | A=4294967281 B=3 | Y=2147483640 | C=0 Z=0 S=0
OP=b | A=4294967281 B=3 | Y=4294967267 | C=0 Z=0 S=1
OP=c | A=4294967281 B=3 | Y=4294967281 | C=0 Z=0 S=1
OP=d | A=4294967281 B=3 | Y=3 | C=0 Z=0 S=0
OP=e | A=4294967281 B=3 | Y=0 | C=0 Z=1 S=0
OP=f | A=4294967281 B=3 | Y=0 | C=0 Z=1 S=0
OP=0 | A=4294967295 B=1 | Y=0 | C=1 Z=1 S=0
OP=1 | A=4294967295 B=1 | Y=4294967294 | C=0 Z=0 S=1
OP=2 | A=4294967295 B=1 | Y=4294967294 | C=0 Z=0 S=1
OP=3 | A=4294967295 B=1 | Y=4294967295 | C=0 Z=0 S=1
OP=4 | A=4294967295 B=1 | Y=1 | C=0 Z=0 S=0
OP=5 | A=4294967295 B=1 | Y=4294967295 | C=0 Z=0 S=1
OP=6 | A=4294967295 B=1 | Y=4294967294 | C=0 Z=0 S=1
OP=7 | A=4294967295 B=1 | Y=0 | C=0 Z=1 S=0
OP=8 | A=4294967295 B=1 | Y=4294967294 | C=0 Z=0 S=1
OP=9 | A=4294967295 B=1 | Y=2147483647 | C=0 Z=0 S=0
OP=a | A=4294967295 B=1 | Y=2147483647 | C=0 Z=0 S=0
OP=b | A=4294967295 B=1 | Y=4294967295 | C=0 Z=0 S=1
OP=c | A=4294967295 B=1 | Y=4294967295 | C=0 Z=0 S=1
OP=d | A=4294967295 B=1 | Y=1 | C=0 Z=0 S=0
OP=e | A=4294967295 B=1 | Y=0 | C=0 Z=1 S=0
OP=f | A=4294967295 B=1 | Y=0 | C=0 Z=1 S=0
OP=0 | A=303379748 B=3230228097 | Y=3533607845 | C=0 Z=0 S=1
OP=1 | A=303379748 B=3230228097 | Y=1368118947 | C=1 Z=0 S=0
OP=2 | A=303379748 B=3230228097 | Y=303379749 | C=0 Z=0 S=0
OP=3 | A=303379748 B=3230228097 | Y=303379748 | C=0 Z=0 S=0
OP=4 | A=303379748 B=3230228097 | Y=70656 | C=0 Z=0 S=0
OP=5 | A=303379748 B=3230228097 | Y=3533537189 | C=0 Z=0 S=1
OP=6 | A=303379748 B=3230228097 | Y=3533466533 | C=0 Z=0 S=1
OP=7 | A=303379748 B=3230228097 | Y=3991587547 | C=0 Z=0 S=1
OP=8 | A=303379748 B=3230228097 | Y=606759496 | C=0 Z=0 S=0
OP=9 | A=303379748 B=3230228097 | Y=151689874 | C=0 Z=0 S=0
OP=a | A=303379748 B=3230228097 | Y=151689874 | C=0 Z=0 S=0
OP=b | A=303379748 B=3230228097 | Y=606759496 | C=0 Z=0 S=0
OP=c | A=303379748 B=3230228097 | Y=303379748 | C=0 Z=0 S=0
OP=d | A=303379748 B=3230228097 | Y=3230228097 | C=0 Z=0 S=1
OP=e | A=303379748 B=3230228097 | Y=0 | C=0 Z=1 S=0
OP=f | A=303379748 B=3230228097 | Y=0 | C=0 Z=1 S=0
OP=0 | A=2223298057 B=2985317987 | Y=913648748 | C=1 Z=0 S=0
OP=1 | A=2223298057 B=2985317987 | Y=3532947366 | C=1 Z=0 S=1
OP=2 | A=2223298057 B=2985317987 | Y=2223298056 | C=0 Z=0 S=1
OP=3 | A=2223298057 B=2985317987 | Y=2223298057 | C=0 Z=0 S=1
OP=4 | A=2223298057 B=2985317987 | Y=2155894273 | C=0 Z=0 S=1
OP=5 | A=2223298057 B=2985317987 | Y=3052721771 | C=0 Z=0 S=1
OP=6 | A=2223298057 B=2985317987 | Y=896827498 | C=0 Z=0 S=0
OP=7 | A=2223298057 B=2985317987 | Y=2071669238 | C=0 Z=0 S=0
OP=8 | A=2223298057 B=2985317987 | Y=151628818 | C=0 Z=0 S=0
OP=9 | A=2223298057 B=2985317987 | Y=1111649028 | C=0 Z=0 S=0
OP=a | A=2223298057 B=2985317987 | Y=1111649028 | C=0 Z=0 S=0
OP=b | A=2223298057 B=2985317987 | Y=151628819 | C=0 Z=0 S=0
OP=c | A=2223298057 B=2985317987 | Y=2223298057 | C=0 Z=0 S=1
OP=d | A=2223298057 B=2985317987 | Y=2985317987 | C=0 Z=0 S=1
OP=e | A=2223298057 B=2985317987 | Y=0 | C=0 Z=1 S=0
OP=f | A=2223298057 B=2985317987 | Y=0 | C=0 Z=1 S=0
